Reviewer,Local Guide,Reviews,Photos,Stars,Review,Date,Visited on,Wait time,Reservation recommended,review_text_raw,rating,review_date,reviewer_name,char_len_raw,clean_text,tokens,word_count,char_count,sentiment_score,sentiment_label
Eric Elswick,False,3,0,2,"Great venue and show. Unfortunately im a little disappointed by the staff because although they were friendly even though they were overwhelmed, i asked two different staff members where the VIP entrance was for my VIP tickets and both of them pointed me in the wrong direction, one of them was even somewhat dismissive of my questions. This caused me to miss out on some of the free merch that came with my tickets because they told me to go into the wrong entrance.",a year ago,Weekday,Up to 10 min,Not sure,"Great venue and show. Unfortunately im a little disappointed by the staff because although they were friendly even though they were overwhelmed, i asked two different staff members where the VIP entrance was for my VIP tickets and both of them pointed me in the wrong direction, one of them was even somewhat dismissive of my questions. This caused me to miss out on some of the free merch that came with my tickets because they told me to go into the wrong entrance.",2.0,,Eric Elswick,467,great venue show unfortunately little disappointed staff although friendly even though overwhelmed asked two different staff member vip entrance vip ticket pointed wrong direction one even somewhat dismissive question caused miss free merch came ticket told wrong entrance,"['great', 'venue', 'show', 'unfortunately', 'little', 'disappointed', 'staff', 'although', 'friendly', 'even', 'though', 'overwhelmed', 'asked', 'two', 'different', 'staff', 'member', 'vip', 'entrance', 'vip', 'ticket', 'pointed', 'wrong', 'direction', 'one', 'even', 'somewhat', 'dismissive', 'question', 'caused', 'miss', 'free', 'merch', 'came', 'ticket', 'told', 'wrong', 'entrance']",38,467,0.8342,positive
Krysta Siciunas,True,133,174,3,"If you pay for upper deck seating, the seats are super small and ungodly uncomfortable. Security act like you standing and stretching your legs because of the darn seats is an abomination and you must move now! I mean really, you wear the wrong shoes and slip, you are rolling overboard from the decline in that place. DEFTONES ROCKED and I wish I could have gotten VIP for my daughter and myselfbackstage meet and greet evenautographs, but I don't have that kind of money, but this place being the Spectrum Center, come on now, can we get better seating? You truly get an arm and a leg for the tickets, can we have some comfort? Thanks in advance!",a year ago,Weekday,Up to 10 min,Yes,"If you pay for upper deck seating, the seats are super small and ungodly uncomfortable. Security act like you standing and stretching your legs because of the darn seats is an abomination and you must move now! I mean really, you wear the wrong shoes and slip, you are rolling overboard from the decline in that place. DEFTONES ROCKED and I wish I could have gotten VIP for my daughter and myselfbackstage meet and greet evenautographs, but I don't have that kind of money, but this place being the Spectrum Center, come on now, can we get better seating? You truly get an arm and a leg for the tickets, can we have some comfort? Thanks in advance!",3.0,,Krysta Siciunas,648,pay upper deck seating seat super small ungodly uncomfortable security act like standing stretching leg darn seat abomination must move mean really wear wrong shoe slip rolling overboard decline place deftones rocked wish could gotten vip daughter myselfbackstage meet greet evenautographs kind money place spectrum center come get better seating truly get arm leg ticket comfort thanks advance,"['pay', 'upper', 'deck', 'seating', 'seat', 'super', 'small', 'ungodly', 'uncomfortable', 'security', 'act', 'like', 'standing', 'stretching', 'leg', 'darn', 'seat', 'abomination', 'must', 'move', 'mean', 'really', 'wear', 'wrong', 'shoe', 'slip', 'rolling', 'overboard', 'decline', 'place', 'deftones', 'rocked', 'wish', 'could', 'gotten', 'vip', 'daughter', 'myselfbackstage', 'meet', 'greet', 'evenautographs', 'kind', 'money', 'place', 'spectrum', 'center', 'come', 'get', 'better', 'seating', 'truly', 'get', 'arm', 'leg', 'ticket', 'comfort', 'thanks', 'advance']",58,648,0.9706,positive
Kristen Butler,True,255,118,1,"Every single thing should have been fantastic- entry was easy, staff was communicative and polite, signage was on point and I could find everything I wanted. Ushers were easy to find, helpful, and lovely. I would have had a genuinely amazing experience here- except there was a giant spot light pointed directly at my seat at a very dark show. I dont turn on the over head lights in my house almost ever. Its like someone screaming in my ear. Its abrasive, its horrible, its impossible to ignore. This was exponentially worse than a home overhead light- it was an actual spotlight! In a dark concert! I also do not like being the center of attention, so knowing that my every move is highlighted to disturb everyone around me completely takes any enjoyment of the show Im watching. I had wanted to see two of the bands playing for decades. I was so excited to see them, and though my seats werent good, it cost me a lot to be there. We drove three hours to get to the show. I asked an usher for help- though polite, his answer was essentially its sold out, get over it. I also work at a performing arts venue- this is unacceptable. At no point when I booked was I alerted that there would be a spot light on my seat. We ended up having to leave the show while the main band was still on because I had a migraine from this light. Please be aware if you book an aisle seat, you might have a spot light uncomfortably on you. Probably just see whatever act you want to see in a different city and dont go to this venue.",a year ago,Weekday,No wait,Yes,"Every single thing should have been fantastic- entry was easy, staff was communicative and polite, signage was on point and I could find everything I wanted. Ushers were easy to find, helpful, and lovely. I would have had a genuinely amazing experience here- except there was a giant spot light pointed directly at my seat at a very dark show. I dont turn on the over head lights in my house almost ever. Its like someone screaming in my ear. Its abrasive, its horrible, its impossible to ignore. This was exponentially worse than a home overhead light- it was an actual spotlight! In a dark concert! I also do not like being the center of attention, so knowing that my every move is highlighted to disturb everyone around me completely takes any enjoyment of the show Im watching. I had wanted to see two of the bands playing for decades. I was so excited to see them, and though my seats werent good, it cost me a lot to be there. We drove three hours to get to the show. I asked an usher for help- though polite, his answer was essentially its sold out, get over it. I also work at a performing arts venue- this is unacceptable. At no point when I booked was I alerted that there would be a spot light on my seat. We ended up having to leave the show while the main band was still on because I had a migraine from this light. Please be aware if you book an aisle seat, you might have a spot light uncomfortably on you. Probably just see whatever act you want to see in a different city and dont go to this venue.",1.0,,Kristen Butler,1515,every single thing fantastic entry easy staff communicative polite signage point could find everything wanted usher easy find helpful lovely would genuinely amazing experience except giant spot light pointed directly seat dark show dont turn head light house almost ever like someone screaming ear abrasive horrible impossible ignore exponentially worse home overhead light actual spotlight dark concert also not like center attention knowing every move highlighted disturb everyone around completely take enjoyment show watching wanted see two band playing decade excited see though seat werent good cost lot drove three hour get show asked usher help though polite answer essentially sold get also work performing art venue unacceptable point booked alerted would spot light seat ended leave show main band still migraine light please aware book aisle seat might spot light uncomfortably probably see whatever act want see different city dont venue,"['every', 'single', 'thing', 'fantastic', 'entry', 'easy', 'staff', 'communicative', 'polite', 'signage', 'point', 'could', 'find', 'everything', 'wanted', 'usher', 'easy', 'find', 'helpful', 'lovely', 'would', 'genuinely', 'amazing', 'experience', 'except', 'giant', 'spot', 'light', 'pointed', 'directly', 'seat', 'dark', 'show', 'dont', 'turn', 'head', 'light', 'house', 'almost', 'ever', 'like', 'someone', 'screaming', 'ear', 'abrasive', 'horrible', 'impossible', 'ignore', 'exponentially', 'worse', 'home', 'overhead', 'light', 'actual', 'spotlight', 'dark', 'concert', 'also', 'not', 'like', 'center', 'attention', 'knowing', 'every', 'move', 'highlighted', 'disturb', 'everyone', 'around', 'completely', 'take', 'enjoyment', 'show', 'watching', 'wanted', 'see', 'two', 'band', 'playing', 'decade', 'excited', 'see', 'though', 'seat', 'werent', 'good', 'cost', 'lot', 'drove', 'three', 'hour', 'get', 'show', 'asked', 'usher', 'help', 'though', 'polite', 'answer', 'essentially', 'sold', 'get', 'also', 'work', 'performing', 'art', 'venue', 'unacceptable', 'point', 'booked', 'alerted', 'would', 'spot', 'light', 'seat', 'ended', 'leave', 'show', 'main', 'band', 'still', 'migraine', 'light', 'please', 'aware', 'book', 'aisle', 'seat', 'might', 'spot', 'light', 'uncomfortably', 'probably', 'see', 'whatever', 'act', 'want', 'see', 'different', 'city', 'dont', 'venue']",142,1515,0.9329,positive
Jack,False,7,1,1,had to throw away my fanny pack because it was too large. took an uber there. couldnt enter without throwing the bag away. a fanny pack. absolutely rude staff all around. show was great.,a year ago,,,,had to throw away my fanny pack because it was too large. took an uber there. couldnt enter without throwing the bag away. a fanny pack. absolutely rude staff all around. show was great.,1.0,,Jack,186,throw away fanny pack large took uber couldnt enter without throwing bag away fanny pack absolutely rude staff around show great,"['throw', 'away', 'fanny', 'pack', 'large', 'took', 'uber', 'couldnt', 'enter', 'without', 'throwing', 'bag', 'away', 'fanny', 'pack', 'absolutely', 'rude', 'staff', 'around', 'show', 'great']",21,186,0.204,positive
Benjamin Stone,False,4,0,1,"Got forced into a separate line from my wife of a different race, not once, but TWICE in the span of 3 minutes. I'm just trying to walk with my wife to our seats - can everyone please just chill out? It's not that serious.",a year ago,,,,"Got forced into a separate line from my wife of a different race, not once, but TWICE in the span of 3 minutes. I'm just trying to walk with my wife to our seats - can everyone please just chill out? It's not that serious.",1.0,,Benjamin Stone,222,got forced separate line wife different race not twice span minute trying walk wife seat everyone please chill not serious,"['got', 'forced', 'separate', 'line', 'wife', 'different', 'race', 'not', 'twice', 'span', 'minute', 'trying', 'walk', 'wife', 'seat', 'everyone', 'please', 'chill', 'not', 'serious']",20,222,0.3145,positive
Sincere X,True,43,3,3,"Went to three shows in February- Mary J, Martin Lawrence, and Lil Wayne and I have no complaints on the artists and their performances. However, I will never ever buy any seats above the 100 level. Made the mistake of cheaping out sec 231 on the first show and it was worst experience ever. People smoking black n milds right behind us and no staff member including security did anything about it no matter how many times everyone in the section complained! Why hire scared, elderly people for security if their unable to perform security!!!",a year ago,,,,"Went to three shows in February- Mary J, Martin Lawrence, and Lil Wayne and I have no complaints on the artists and their performances. However, I will never ever buy any seats above the 100 level. Made the mistake of cheaping out sec 231 on the first show and it was worst experience ever. People smoking black n milds right behind us and no staff member including security did anything about it no matter how many times everyone in the section complained! Why hire scared, elderly people for security if their unable to perform security!!!",3.0,,Sincere X,541,went three show february mary martin lawrence lil wayne complaint artist performance however never ever buy seat level made mistake cheaping sec first show worst experience ever people smoking black milds right behind staff member including security anything matter many time everyone section complained hire scared elderly people security unable perform security,"['went', 'three', 'show', 'february', 'mary', 'martin', 'lawrence', 'lil', 'wayne', 'complaint', 'artist', 'performance', 'however', 'never', 'ever', 'buy', 'seat', 'level', 'made', 'mistake', 'cheaping', 'sec', 'first', 'show', 'worst', 'experience', 'ever', 'people', 'smoking', 'black', 'milds', 'right', 'behind', 'staff', 'member', 'including', 'security', 'anything', 'matter', 'many', 'time', 'everyone', 'section', 'complained', 'hire', 'scared', 'elderly', 'people', 'security', 'unable', 'perform', 'security']",52,541,-0.9357,negative
Frux Adinfinitum,True,237,20,2,"They removed the cap off my water 1 without asking and 2 without a proper explanation of why I couldnt keep my lid. Frankly, I think its a ploy for them to make more money by me or my child spilling my water and having to spend another 5 to get a new one. The lady fumbled and said oh people could sneak drinks in or may throw the lid...ummmm, people who sneak drinks in do so with bottles they bring in...and people can throw a lot of things the actual bottle itself, as an example, so COME UP WITH BETTER EXCUSES, SPECTRUM CENTER. The security staff are a joke...needlessly rude...WATCH THEM AS THEY CHECK YOUR PURSE!!!! The lady was thoroughly checking my clutch and the man motioned for me to walk through the machine....ummmmm, no, I should be able to watch my purse being inspected. Especially because they are quick to move you through after the search and machine, you dont get the chance to make sure you have everything in your purse. And lastly, per usual, the seats are super tiny! I was sat next to a big man who wholeheartedly believed in the man spread his legs were spread W I D E so I was forced to hold my body close so we wouldnt be awkwardly rubbing against each other. Essentially, I spent 50 per seat, only to watch the game uncomfortably. I love my Hornets but I will stick to watching the games at home, with my big screen, comfortable seating, and fairly priced snacks.",a year ago,Weekend,1030 min,,"They removed the cap off my water 1 without asking and 2 without a proper explanation of why I couldnt keep my lid. Frankly, I think its a ploy for them to make more money by me or my child spilling my water and having to spend another 5 to get a new one. The lady fumbled and said oh people could sneak drinks in or may throw the lid...ummmm, people who sneak drinks in do so with bottles they bring in...and people can throw a lot of things the actual bottle itself, as an example, so COME UP WITH BETTER EXCUSES, SPECTRUM CENTER. The security staff are a joke...needlessly rude...WATCH THEM AS THEY CHECK YOUR PURSE!!!! The lady was thoroughly checking my clutch and the man motioned for me to walk through the machine....ummmmm, no, I should be able to watch my purse being inspected. Especially because they are quick to move you through after the search and machine, you dont get the chance to make sure you have everything in your purse. And lastly, per usual, the seats are super tiny! I was sat next to a big man who wholeheartedly believed in the man spread his legs were spread W I D E so I was forced to hold my body close so we wouldnt be awkwardly rubbing against each other. Essentially, I spent 50 per seat, only to watch the game uncomfortably. I love my Hornets but I will stick to watching the games at home, with my big screen, comfortable seating, and fairly priced snacks.",2.0,,Frux Adinfinitum,1394,removed cap water without asking without proper explanation couldnt keep lid frankly think ploy make money child spilling water spend another get new one lady fumbled said people could sneak drink may throw lid ummmm people sneak drink bottle bring people throw lot thing actual bottle example come better excuse spectrum center security staff joke needlessly rude watch check purse lady thoroughly checking clutch man motioned walk machine ummmmm able watch purse inspected especially quick move search machine dont get chance make sure everything purse lastly per usual seat super tiny sat next big man wholeheartedly believed man spread leg spread forced hold body close wouldnt awkwardly rubbing essentially spent per seat watch game uncomfortably love hornet stick watching game home big screen comfortable seating fairly priced snack,"['removed', 'cap', 'water', 'without', 'asking', 'without', 'proper', 'explanation', 'couldnt', 'keep', 'lid', 'frankly', 'think', 'ploy', 'make', 'money', 'child', 'spilling', 'water', 'spend', 'another', 'get', 'new', 'one', 'lady', 'fumbled', 'said', 'people', 'could', 'sneak', 'drink', 'may', 'throw', 'lid', 'ummmm', 'people', 'sneak', 'drink', 'bottle', 'bring', 'people', 'throw', 'lot', 'thing', 'actual', 'bottle', 'example', 'come', 'better', 'excuse', 'spectrum', 'center', 'security', 'staff', 'joke', 'needlessly', 'rude', 'watch', 'check', 'purse', 'lady', 'thoroughly', 'checking', 'clutch', 'man', 'motioned', 'walk', 'machine', 'ummmmm', 'able', 'watch', 'purse', 'inspected', 'especially', 'quick', 'move', 'search', 'machine', 'dont', 'get', 'chance', 'make', 'sure', 'everything', 'purse', 'lastly', 'per', 'usual', 'seat', 'super', 'tiny', 'sat', 'next', 'big', 'man', 'wholeheartedly', 'believed', 'man', 'spread', 'leg', 'spread', 'forced', 'hold', 'body', 'close', 'wouldnt', 'awkwardly', 'rubbing', 'essentially', 'spent', 'per', 'seat', 'watch', 'game', 'uncomfortably', 'love', 'hornet', 'stick', 'watching', 'game', 'home', 'big', 'screen', 'comfortable', 'seating', 'fairly', 'priced', 'snack']",128,1394,0.8969,positive
June Mcdonald,True,11,3,3,"One of the best places, but the downside is the large number of people and slightly high prices.",a year ago,,3060 min,Yes,"One of the best places, but the downside is the large number of people and slightly high prices.",3.0,,June Mcdonald,96,one best place downside large number people slightly high price,"['one', 'best', 'place', 'downside', 'large', 'number', 'people', 'slightly', 'high', 'price']",10,96,0.1406,positive
Candis King,True,19,0,3,"Took my sister to see Jelly Roll October 28, 2024. The worst sound system I've ever heard in concert.",a year ago,,,,"Took my sister to see Jelly Roll October 28, 2024. The worst sound system I've ever heard in concert.",3.0,,Candis King,101,took sister see jelly roll october worst sound system ever heard concert,"['took', 'sister', 'see', 'jelly', 'roll', 'october', 'worst', 'sound', 'system', 'ever', 'heard', 'concert']",12,101,-0.6249,negative
Sydney Noelle Romero,False,1,0,1,we lined up to enter the building and two security people cleared our bag sizes but once we reached the front of the line a different security person told us we were not cleared so they made us reline up. in the future i wish security people aligned with what they said to us so our time is not wasted,a year ago,Weekend,3060 min,Yes,we lined up to enter the building and two security people cleared our bag sizes but once we reached the front of the line a different security person told us we were not cleared so they made us reline up. in the future i wish security people aligned with what they said to us so our time is not wasted,1.0,,Sydney Noelle Romero,301,lined enter building two security people cleared bag size reached front line different security person told not cleared made reline future wish security people aligned said time not wasted,"['lined', 'enter', 'building', 'two', 'security', 'people', 'cleared', 'bag', 'size', 'reached', 'front', 'line', 'different', 'security', 'person', 'told', 'not', 'cleared', 'made', 'reline', 'future', 'wish', 'security', 'people', 'aligned', 'said', 'time', 'not', 'wasted']",29,301,0.9459,positive
Piper Rogers,True,17,0,1,"Operations were atrociously ineffectivemessy. Staff totally clueless. Dont even bother with concessions, as employees admittedly had zero training on their new checkout machines; took over 30 minutes to get a drink with maybe 15 people in line ahead of me. No napkins anywhere. The free refill stations were completely empty before half time save the 20. Oh, and the big screens were reversed from the actual court...? So strange. Money well spent on aesthetics, but clearly no effort in a providing an enjoyable experience for ticket holders.",a year ago,,,,"Operations were atrociously ineffectivemessy. Staff totally clueless. Dont even bother with concessions, as employees admittedly had zero training on their new checkout machines; took over 30 minutes to get a drink with maybe 15 people in line ahead of me. No napkins anywhere. The free refill stations were completely empty before half time save the 20. Oh, and the big screens were reversed from the actual court...? So strange. Money well spent on aesthetics, but clearly no effort in a providing an enjoyable experience for ticket holders.",1.0,,Piper Rogers,543,operation atrociously ineffectivemessy staff totally clueless dont even bother concession employee admittedly zero training new checkout machine took minute get drink maybe people line ahead napkin anywhere free refill station completely empty half time save big screen reversed actual court strange money well spent aesthetic clearly effort providing enjoyable experience ticket holder,"['operation', 'atrociously', 'ineffectivemessy', 'staff', 'totally', 'clueless', 'dont', 'even', 'bother', 'concession', 'employee', 'admittedly', 'zero', 'training', 'new', 'checkout', 'machine', 'took', 'minute', 'get', 'drink', 'maybe', 'people', 'line', 'ahead', 'napkin', 'anywhere', 'free', 'refill', 'station', 'completely', 'empty', 'half', 'time', 'save', 'big', 'screen', 'reversed', 'actual', 'court', 'strange', 'money', 'well', 'spent', 'aesthetic', 'clearly', 'effort', 'providing', 'enjoyable', 'experience', 'ticket', 'holder']",52,543,0.7551,positive
William Herrera,True,338,1884,3,"We have been going to the spectrum Center for years. I was previously a partial season ticket holder for the Charlotte Hornets. I gave them up due to the expenses that come with traveling to Charlotte from Winston Salem. My kids took me yesterday for the Knicks game as a Birthday gift. After being on an u organized and chaotic line for half hour, we get to the front and a security lady comes out of nowhere and tells my wife she cant go in with her CLEAR bag. I advised her we purchased it the previous year in the arena. She said, New owners, new rules in a nasty tone. The bag was about 3 inches bigger than the 7 they now admit, Mind you, its clear and was only 14 full. Then her and another security guard said get out of the line and go to the back after you put your bag in the car. They were doing this to a lot of people, even one with a stroller. They were not professional at all. Super Nasty! The worse part was that inside we saw bigger SOLID pocketbooks and bags!!!! Luckily it was a good game and I cooled down. The new colors on the basketball floor are cool. The overhead is crystal clear. Staff inside was nice. Prices are still high for food and drinks, add tickets and parking and its becoming a rich mans night out. We had fun and our NY Knicks won! Update: Its nice to come out here once in a while to catch a game but it gets expensive. Between tickets and parking, its become a rich mans sport, just like every other sport. My biggest complain is the food quality. They have switched over to self serve kiosks where you tap your card and grab and go. The food does not feel fresh and could be sitting quite a bit of time. They also have someone making you take the cap off your drinks and throwing them out. This becomes a hassle to carry and spill and sodas go flat quickly. We got the Chicken strips and waffle fries and they were worse than what you would get at a gas station. The nachos come in a small bag with a sealed cold cheese sauce, just nasty! Not a lot of nachos in the bag and no option of jalapeños or chili or HOT cheese! Just not worth it for the money you pay. Better off eating ahead or after the games. I would love to see more affordable t shirts or value worthy gifts for everyone, not just the people with money to spare. Would love to come to more games but 1 or 2 a year is my limit. I can only afford nosebleeds and for that I might as well stay in the comfort of my home.",Edited a year ago,Weekday,3060 min,Yes,"We have been going to the spectrum Center for years. I was previously a partial season ticket holder for the Charlotte Hornets. I gave them up due to the expenses that come with traveling to Charlotte from Winston Salem. My kids took me yesterday for the Knicks game as a Birthday gift. After being on an u organized and chaotic line for half hour, we get to the front and a security lady comes out of nowhere and tells my wife she cant go in with her CLEAR bag. I advised her we purchased it the previous year in the arena. She said, New owners, new rules in a nasty tone. The bag was about 3 inches bigger than the 7 they now admit, Mind you, its clear and was only 14 full. Then her and another security guard said get out of the line and go to the back after you put your bag in the car. They were doing this to a lot of people, even one with a stroller. They were not professional at all. Super Nasty! The worse part was that inside we saw bigger SOLID pocketbooks and bags!!!! Luckily it was a good game and I cooled down. The new colors on the basketball floor are cool. The overhead is crystal clear. Staff inside was nice. Prices are still high for food and drinks, add tickets and parking and its becoming a rich mans night out. We had fun and our NY Knicks won! Update: Its nice to come out here once in a while to catch a game but it gets expensive. Between tickets and parking, its become a rich mans sport, just like every other sport. My biggest complain is the food quality. They have switched over to self serve kiosks where you tap your card and grab and go. The food does not feel fresh and could be sitting quite a bit of time. They also have someone making you take the cap off your drinks and throwing them out. This becomes a hassle to carry and spill and sodas go flat quickly. We got the Chicken strips and waffle fries and they were worse than what you would get at a gas station. The nachos come in a small bag with a sealed cold cheese sauce, just nasty! Not a lot of nachos in the bag and no option of jalapeños or chili or HOT cheese! Just not worth it for the money you pay. Better off eating ahead or after the games. I would love to see more affordable t shirts or value worthy gifts for everyone, not just the people with money to spare. Would love to come to more games but 1 or 2 a year is my limit. I can only afford nosebleeds and for that I might as well stay in the comfort of my home.",3.0,,William Herrera,2425,going spectrum center year previously partial season ticket holder charlotte hornet gave due expense come traveling charlotte winston salem kid took yesterday knicks game birthday gift organized chaotic line half hour get front security lady come nowhere tell wife cant clear bag advised purchased previous year arena said new owner new rule nasty tone bag inch bigger admit mind clear full another security guard said get line back put bag car lot people even one stroller not professional super nasty worse part inside saw bigger solid pocketbook bag luckily good game cooled new color basketball floor cool overhead crystal clear staff inside nice price still high food drink add ticket parking becoming rich man night fun knicks update nice come catch game get expensive ticket parking become rich man sport like every sport biggest complain food quality switched self serve kiosk tap card grab food not feel fresh could sitting quite bit time also someone making take cap drink throwing becomes hassle carry spill soda flat quickly got chicken strip waffle fry worse would get gas station nacho come small bag sealed cold cheese sauce nasty not lot nacho bag option jalape chili hot cheese not worth money pay better eating ahead game would love see affordable shirt value worthy gift everyone not people money spare would love come game year limit afford nosebleed might well stay comfort home,"['going', 'spectrum', 'center', 'year', 'previously', 'partial', 'season', 'ticket', 'holder', 'charlotte', 'hornet', 'gave', 'due', 'expense', 'come', 'traveling', 'charlotte', 'winston', 'salem', 'kid', 'took', 'yesterday', 'knicks', 'game', 'birthday', 'gift', 'organized', 'chaotic', 'line', 'half', 'hour', 'get', 'front', 'security', 'lady', 'come', 'nowhere', 'tell', 'wife', 'cant', 'clear', 'bag', 'advised', 'purchased', 'previous', 'year', 'arena', 'said', 'new', 'owner', 'new', 'rule', 'nasty', 'tone', 'bag', 'inch', 'bigger', 'admit', 'mind', 'clear', 'full', 'another', 'security', 'guard', 'said', 'get', 'line', 'back', 'put', 'bag', 'car', 'lot', 'people', 'even', 'one', 'stroller', 'not', 'professional', 'super', 'nasty', 'worse', 'part', 'inside', 'saw', 'bigger', 'solid', 'pocketbook', 'bag', 'luckily', 'good', 'game', 'cooled', 'new', 'color', 'basketball', 'floor', 'cool', 'overhead', 'crystal', 'clear', 'staff', 'inside', 'nice', 'price', 'still', 'high', 'food', 'drink', 'add', 'ticket', 'parking', 'becoming', 'rich', 'man', 'night', 'fun', 'knicks', 'update', 'nice', 'come', 'catch', 'game', 'get', 'expensive', 'ticket', 'parking', 'become', 'rich', 'man', 'sport', 'like', 'every', 'sport', 'biggest', 'complain', 'food', 'quality', 'switched', 'self', 'serve', 'kiosk', 'tap', 'card', 'grab', 'food', 'not', 'feel', 'fresh', 'could', 'sitting', 'quite', 'bit', 'time', 'also', 'someone', 'making', 'take', 'cap', 'drink', 'throwing', 'becomes', 'hassle', 'carry', 'spill', 'soda', 'flat', 'quickly', 'got', 'chicken', 'strip', 'waffle', 'fry', 'worse', 'would', 'get', 'gas', 'station', 'nacho', 'come', 'small', 'bag', 'sealed', 'cold', 'cheese', 'sauce', 'nasty', 'not', 'lot', 'nacho', 'bag', 'option', 'jalape', 'chili', 'hot', 'cheese', 'not', 'worth', 'money', 'pay', 'better', 'eating', 'ahead', 'game', 'would', 'love', 'see', 'affordable', 'shirt', 'value', 'worthy', 'gift', 'everyone', 'not', 'people', 'money', 'spare', 'would', 'love', 'come', 'game', 'year', 'limit', 'afford', 'nosebleed', 'might', 'well', 'stay', 'comfort', 'home']",229,2425,0.9888,positive
Willie P,False,11,2,5,Took the wife to see Justin Timberlake. The only reason we had to wait 45 minutes is we showed up extra early to avoid the line. Getting in and out is the fastest of any event that we've been to. I had the burger box that came with waffle fries and the burger was good but the waffle fries were awesome! The only bad part was seating we had floor seats was so close to each other not only side by side but the chairs in front of us barely left room for people to walk by. Me and the wife wanted to dance around but could barely move. I'm not going to knock any stars off for that miniscule problem. JTs performance made up for that!,a year ago,Weekday,3060 min,Yes,Took the wife to see Justin Timberlake. The only reason we had to wait 45 minutes is we showed up extra early to avoid the line. Getting in and out is the fastest of any event that we've been to. I had the burger box that came with waffle fries and the burger was good but the waffle fries were awesome! The only bad part was seating we had floor seats was so close to each other not only side by side but the chairs in front of us barely left room for people to walk by. Me and the wife wanted to dance around but could barely move. I'm not going to knock any stars off for that miniscule problem. JTs performance made up for that!,5.0,,Willie P,632,took wife see justin timberlake reason wait minute showed extra early avoid line getting fastest event burger box came waffle fry burger good waffle fry awesome bad part seating floor seat close not side side chair front barely left room people walk wife wanted dance around could barely move not going knock star miniscule problem jts performance made,"['took', 'wife', 'see', 'justin', 'timberlake', 'reason', 'wait', 'minute', 'showed', 'extra', 'early', 'avoid', 'line', 'getting', 'fastest', 'event', 'burger', 'box', 'came', 'waffle', 'fry', 'burger', 'good', 'waffle', 'fry', 'awesome', 'bad', 'part', 'seating', 'floor', 'seat', 'close', 'not', 'side', 'side', 'chair', 'front', 'barely', 'left', 'room', 'people', 'walk', 'wife', 'wanted', 'dance', 'around', 'could', 'barely', 'move', 'not', 'going', 'knock', 'star', 'miniscule', 'problem', 'jts', 'performance', 'made']",58,632,-0.4374,negative
Nick Netting,True,176,102,3,"Iron Maiden ""sold out"" show. They put on an awesome performance. Fold out chairs for the ""front row"" lounge packed so tight you would have thought you were on spirit airlines. Didn't sit down much thank goodness Very easy to get in and out, no vapes.",a year ago,Weekday,1030 min,Yes,"Iron Maiden ""sold out"" show. They put on an awesome performance. Fold out chairs for the ""front row"" lounge packed so tight you would have thought you were on spirit airlines. Didn't sit down much thank goodness Very easy to get in and out, no vapes.",3.0,,Nick Netting,250,iron maiden sold show put awesome performance fold chair front row lounge packed tight would thought spirit airline sit much thank goodness easy get vapes,"['iron', 'maiden', 'sold', 'show', 'put', 'awesome', 'performance', 'fold', 'chair', 'front', 'row', 'lounge', 'packed', 'tight', 'would', 'thought', 'spirit', 'airline', 'sit', 'much', 'thank', 'goodness', 'easy', 'get', 'vapes']",25,250,0.9061,positive
Kieron Kennedy,False,10,0,4,Upper seats are cramped with no cup holders for your drink.,a year ago,Weekday,No wait,Yes,Upper seats are cramped with no cup holders for your drink.,4.0,,Kieron Kennedy,59,upper seat cramped cup holder drink,"['upper', 'seat', 'cramped', 'cup', 'holder', 'drink']",6,59,-0.296,negative
